Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Solid_Solution_Time_h,Cold_Rolling_Reduction,Secondary_Treatment_YN,Aging_Temp_K,Aging_Time_h,Secondary_Mech_YN,Hardness_HV,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Electrical_Conductivity_IACS,DOI
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,1.0,0.0,Y,573.0,1.0,N,79.0,,,38.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,1.0,0.0,Y,623.0,1.0,N,80.0,,,39.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,1.0,0.0,Y,673.0,1.0,N,76.0,,,40.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,1.0,0.0,Y,723.0,1.0,N,105.0,,,61.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,1.0,0.0,Y,773.0,1.0,N,155.0,,,74.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,1.0,0.0,Y,823.0,1.0,N,141.0,,,85.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,N,,,N,81.0,,,37.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,373.0,1.0,N,86.0,,,37.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,473.0,1.0,N,80.0,,,38.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,1.0,0.0,Y,523.0,1.0,N,81.0,,,38.0,http://dx.doi.org/10.1016/j.matlet.2017.04.039
