Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Aging_Temp_K,Aging_Time_h,Electrical_Conductivity_IACS
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,773.0,1.0,74.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,823.0,1.0,85.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,373.0,1.0,37.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,473.0,1.0,38.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,523.0,1.0,38.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,573.0,1.0,39.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,623.0,1.0,40.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,673.0,1.0,42.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,723.0,1.0,57.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,773.0,1.0,73.0
Cu-1Cr-0.1Zr,Cu low alloyed,98.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,1273.0,823.0,1.0,83.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,373.0,1.0,32.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,473.0,1.0,32.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,523.0,1.0,32.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,573.0,1.0,33.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,623.0,1.0,36.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,673.0,1.0,37.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,723.0,1.0,43.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,773.0,1.0,65.0
Cu-0.3Cr-0.5Zr,Cu low alloyed,99.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1273.0,823.0,1.0,77.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,603.0,1.0,72.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,603.0,2.0,73.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,603.0,4.0,74.0
Cu-0.5Zr-0.065B,Cu low alloyed,99.435,0.0,0.0,0.065,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,1208.0,603.0,6.0,74.0
