Alloy_Name,Alloy_Type,Cu,Al,Cr,Mg,Ni,Si,Solid_Solution_Temp_K,Aging_Temp_K,Aging_Time_h,Electrical_Conductivity_IACS
Cu-2Ni-0.5Si-0.1Mg,Cu-Ni-Si alloys,97.4,0,0,0.1,2,0.5,1003,673,72,44
Cu-2Ni-0.5Si,Cu-Ni-Si alloys,97.5,0,0,0,2,0.5,1003,673,72,46
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,24
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,17
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,19
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,17
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,24
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,17
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,20
Cu-3.3Ni-1Si-0.8Cr-0.09Mg,Cu-Ni-Si alloys,94.754,0,0.85,0.09,3.3,1,923,773,2,17
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,0.5,27
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,1,31
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,2,33
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,4,35
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,8,37
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,12,38
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,673,16,38
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,0.5,31
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,1,35
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,2,40
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,4,40
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,8,42
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,12,42
Cu-2.1Ni–0.5Si–0.2Zr,Cu-Ni-Si alloys,97.18,0,0,0,2.11,0.53,1193,723,16,43
